file_name	emotion
train_0001.wav	neutral
train_0002.wav	neutral
train_0003.wav	neutral
train_0004.wav	neutral
train_0005.wav	neutral
train_0006.wav	happy
train_0007.wav	neutral
train_0008.wav	neutral
train_0009.wav	sad
train_0010.wav	neutral
train_0011.wav	angry
train_0012.wav	neutral
train_0013.wav	angry
train_0014.wav	happy
train_0015.wav	neutral
train_0016.wav	neutral
train_0017.wav	sad
train_0018.wav	neutral
train_0019.wav	neutral
train_0020.wav	neutral
train_0021.wav	neutral
train_0022.wav	happy
train_0023.wav	neutral
train_0024.wav	neutral
train_0025.wav	happy
train_0026.wav	neutral
train_0027.wav	neutral
train_0028.wav	sad
train_0029.wav	neutral
train_0030.wav	neutral
train_0031.wav	neutral
train_0032.wav	happy
train_0033.wav	happy
train_0034.wav	neutral
train_0035.wav	sad
train_0036.wav	neutral
train_0037.wav	neutral
train_0038.wav	happy
train_0039.wav	neutral
train_0040.wav	neutral
train_0041.wav	neutral
train_0042.wav	neutral
train_0043.wav	neutral
train_0044.wav	happy
train_0045.wav	happy
train_0046.wav	neutral
train_0047.wav	neutral
train_0048.wav	neutral
train_0049.wav	happy
train_0050.wav	happy
train_0051.wav	neutral
train_0052.wav	neutral
train_0053.wav	happy
train_0054.wav	neutral
train_0055.wav	neutral
train_0056.wav	sad
train_0057.wav	neutral
train_0058.wav	angry
train_0059.wav	neutral
train_0060.wav	sad
train_0061.wav	happy
train_0062.wav	neutral
train_0063.wav	neutral
train_0064.wav	happy
train_0065.wav	happy
train_0066.wav	happy
train_0067.wav	neutral
train_0068.wav	happy
train_0069.wav	neutral
train_0070.wav	neutral
train_0071.wav	angry
train_0072.wav	neutral
train_0073.wav	neutral
train_0074.wav	neutral
train_0075.wav	neutral
train_0076.wav	angry
train_0077.wav	neutral
train_0078.wav	neutral
train_0079.wav	neutral
train_0080.wav	neutral
train_0081.wav	neutral
train_0082.wav	neutral
train_0083.wav	neutral
train_0084.wav	neutral
train_0085.wav	neutral
train_0086.wav	sad
train_0087.wav	neutral
train_0088.wav	neutral
train_0089.wav	neutral
